family,family_label,task,task_label,scenario,scenario_label,model,model_label,seed,metric,value
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,183,AUC,0.4698412698412699
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,184,AUC,0.4551587301587302
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,185,AUC,0.4994047619047618
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,186,AUC,0.4426587301587301
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,187,AUC,0.4843253968253969
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,188,AUC,0.5162698412698412
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,189,AUC,0.5634920634920635
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,190,AUC,0.44007936507936507
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,191,AUC,0.5295634920634921
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,192,AUC,0.5692460317460317
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,193,AUC,0.4416666666666667
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,194,AUC,0.3970238095238095
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,195,AUC,0.5194444444444444
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,196,AUC,0.5555555555555556
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,197,AUC,0.5101190476190477
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,198,AUC,0.4801587301587301
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,199,AUC,0.4601190476190477
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,200,AUC,0.4875
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,201,AUC,0.4801587301587302
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,202,AUC,0.4904761904761905
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,203,AUC,0.5178571428571428
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,204,AUC,0.4968253968253968
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,205,AUC,0.4047619047619047
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,206,AUC,0.5269841269841271
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,207,AUC,0.4202380952380952
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,208,AUC,0.4777777777777778
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,209,AUC,0.4234126984126984
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,210,AUC,0.5406746031746033
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,211,AUC,0.4214285714285715
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,212,AUC,0.4672619047619047
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,213,AUC,0.4531746031746032
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,214,AUC,0.4373015873015873
