family,family_label,task,task_label,scenario,scenario_label,model,model_label,seed,metric,value
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,167,AUC,0.4946428571428571
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,168,AUC,0.4722222222222222
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,169,AUC,0.4345238095238095
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,170,AUC,0.4742063492063492
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,171,AUC,0.4234126984126984
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,172,AUC,0.4591269841269841
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,173,AUC,0.4775793650793651
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,174,AUC,0.4964285714285714
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,175,AUC,0.5015873015873016
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,176,AUC,0.5043650793650793
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,177,AUC,0.5311507936507937
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,178,AUC,0.476984126984127
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,179,AUC,0.4688492063492064
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,180,AUC,0.4853174603174603
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,181,AUC,0.4160714285714286
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,182,AUC,0.4821428571428571
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,183,AUC,0.5182539682539683
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,184,AUC,0.5023809523809524
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,185,AUC,0.4337301587301587
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,186,AUC,0.4706349206349206
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,187,AUC,0.4992063492063492
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,188,AUC,0.4807539682539682
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,189,AUC,0.528968253968254
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,190,AUC,0.4617063492063492
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,191,AUC,0.453968253968254
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,192,AUC,0.4365079365079365
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,193,AUC,0.5386904761904762
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,194,AUC,0.4583333333333333
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,195,AUC,0.4813492063492063
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,196,AUC,0.4676587301587302
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,197,AUC,0.4666666666666667
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,198,AUC,0.5138888888888888
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,199,AUC,0.5107142857142857
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,200,AUC,0.4748015873015873
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,201,AUC,0.5117063492063492
